Beveridge,Origin,Caffeine,Alcohol,Carbonation,Temperature,Image Link
Sangaria,Spanish,No,Yes,No,Cold,https://www.archanaskitchen.com/images/archanaskitchen/World_Beverages/Red_Wine_Sangria_Cocktail_Recipe-1_400.jpg
Hot Chocolate,United States,No,No,No,Hot,https://imbibemagazine.com/wp-content/uploads/2021/10/web-holiday-drinks-rum-hot-chocolate-crdt-john-valls.jpg
Gin and Tonic,England,No,Yes,No,Cold,https://6632597.fs1.hubspotusercontent-na1.net/hubfs/6632597/Blog/kegworks-how-to-make-gin-and-tonic-2.jpg
Red Wine,Global,No,Yes,No,Cold,https://www.thewinesociety.com/4a6a8f/globalassets/discovery/thumbs/bold_spicy_reds_735x790.jpg
Orange Juice,United States,No,No,No,Cold,https://images-prod.healthline.com/hlcmsresource/images/AN_images/orange-juice-1296x728-feature.jpg
Air Mata Kucing,Malaysia,No,No,No,Cold,https://1.bp.blogspot.com/-LCeF1oxHS-8/WUItpmr7L9I/AAAAAAAAuGk/jQWA5m3OsWw7c0SBtyc7wMfCmSTeEGlrgCLcBGAs/s1600/nasi%2Bjagung%2B104.JPG
Tea,Global,Yes,No,No,Hot,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSU-SUW5K5RS8EUaU36vnL8E2HFYt7vMtE_3uk7zbt3vn10mx8GVnnrQFtvaGzH0dRvLZc&usqp=CAU
Beer,Global,No,Yes,No,Cold,https://bl-i.thgim.com/public/news/ape3ul/article66047942.ece/alternates/FREE_1200/BL24_Corp_Beer.jpg
Coffee,Ethiopia,Yes,No,No,Hot,https://memoriesofethiopia.com.ng/wp-content/uploads/2020/09/DSC00424.jpg
Coca-Cola,United States,Yes,No,Yes,Cold,https://i.pinimg.com/originals/07/3b/af/073baf0bb56e55a49c2b3b3dfb5b0b7d.jpg
Water,Global,No,No,No,Cold,https://post.healthline.com/wp-content/uploads/2020/06/glass-drinking-water-732x549-thumbnail-1-732x549.jpg
